,word,frequency
11561,gonzalez,9
11562,loved,9
11563,intriguing,9
11564,commerce,9
11565,buildings,9
11566,promised,9
11567,transcendent,9
11568,necklace,9
11569,fuller,9
11570,tuning,9
11571,accountable,9
11572,extending,9
11573,closet,9
11574,specialise,9
11575,nommer,9
11576,apples,9
11577,+120,9
11578,loge,9
11579,blake,9
11580,henri,9
11581,squarec,9
11582,rhombi,8
11583,depolarization,8
11584,studios,8
11585,expressive,8
11586,enkhjin,8
11587,kabadi,8
11588,tekscape,8
11589,corona,8
11590,picking,8
11591,beagle,8
11592,px,8
11593,testament,8
11594,prognosis,8
11595,inductors,8
11596,accelerating,8
11597,b^,8
11598,oxygenation,8
11599,seurat,8
11600,sympathy,8
11601,stimulation,8
11602,suspended,8
11603,univariate,8
11604,cycloexane,8
11605,consequently,8
11606,niño,8
11607,gastroenteritis,8
11608,coincidence,8
11609,brotherhood,8
11610,acutangle,8
11611,cop,8
11612,artisanal,8
11613,afterimage,8
11614,incognites,8
11615,secantes,8
11616,gpp,8
11617,meadow,8
11618,watershed,8
11619,sunrise,8
11620,writers,8
11621,vicinity,8
11622,sean,8
11623,refract,8
11624,diaper,8
11625,salutation,8
11626,saturate,8
11627,frictionless,8
11628,intermediation,8
11629,indexing,8
11630,fungus,8
11631,welder,8
11632,recommendations,8
11633,ancestry,8
11634,brechael,8
11635,coastal,8
11636,courbet,8
11637,hardly,8
11638,λ,8
11639,edi,8
11640,leonard,8
11641,ours,8
11642,medicines,8
11643,improves,8
11644,affirmative,8
11645,nourish,8
11646,meniscus,8
11647,hub,8
11648,restructure,8
11649,prob,8
11650,shannon,8
11651,sighting,8
11652,internally,8
11653,superheroes,8
11654,heats,8
11655,dislike,8
11656,mock,8
11657,underivated,8
11658,recreate,8
11659,quadriculated,8
11660,deviate,8
11661,chad,8
11662,abc,8
11663,schoo,8
11664,disqualification,8
11665,cannabis,8
11666,cafe,8
11667,oxidizing,8
11668,depiction,8
11669,baghdad,8
11670,controls,8
11671,peptides,8
11672,blowing,8
11673,ox,8
11674,echinoderm,8
11675,plum,8
11676,harmonium,8
11677,carnivorous,8
11678,lofted,8
11679,zest,8
11680,sewing,8
11681,omnipresent,8
11682,dentaire,8
11683,banning,8
11684,sequentially,8
11685,complimentary,8
11686,diminutive,8
11687,capsule,8
11688,oils,8
11689,barton,8
11690,handouts,8
11691,caribbean,8
11692,flatbread,8
11693,arguably,8
11694,joyce,8
11695,pore,8
11696,schiele,8
11697,spoilage,8
11698,troposphere,8
11699,/ə/,8
11700,ternary,8
11701,erebus,8
11702,botany,8
11703,ascending,8
11704,paycheck,8
11705,sammy,8
11706,parisian,8
11707,intern,8
11708,greetings,8
11709,hinge,8
11710,textile,8
11711,cents,8
11712,x^2+3x+4,8
11713,comun,8
11714,rects,8
11715,helps,8
11716,thi,8
11717,attendance,8
11718,abbey,8
11719,u06,8
11720,networked,8
11721,merit,8
11722,oversight,8
11723,encouraging,8
11724,catalytic,8
11725,flush,8
11726,sleeping,8
11727,practising,8
11728,geothermal,8
11729,tensile,8
11730,endanger,8
11731,guaranteed,8
11732,mythosis,8
11733,amazonian,8
11734,a.m.,8
11735,delineate,8
11736,ascii,8
11737,router,8
11738,dignity,8
11739,railroad,8
11740,furnish,8
11741,brownie,8
11742,undergoes,8
11743,seya,8
11744,acceptance,8
11745,overlapping,8
11746,+b,8
11747,sphincter,8
11748,esters,8
11749,serfdom,8
11750,angiosperm,8
11751,twelfth,8
11752,testimony,8
11753,born,8
11754,tri,8
11755,configurations,8
11756,minimalism,8
11757,allegory,8
11758,interpretations,8
11759,lieutenant,8
11760,fibrous,8
11761,covers,8
11762,formerly,8
11763,halve,8
11764,radiometric,8
11765,bilayers,8
11766,av,8
11767,shirley,8
11768,^3,8
11769,soothe,8
11770,topography,8
11771,bamboo,8
11772,sadness,8
11773,embodiment,8
11774,unrealistic,8
11775,orbits,8
11776,unbounded,8
11777,acrylic,8
11778,abacus,8
11779,deterministic,8
11780,symbolize,8
11781,capstone,8
11782,recurring,8
11783,rectuits,8
11784,autumn,8
11785,fulfilling,8
11786,supermassive,8
11787,enjoyable,8
11788,remarks,8
11789,rag,8
11790,ascend,8
11791,gmos,8
11792,rothko,8
11793,kodable,8
11794,proto,8
11795,brillouin,8
11796,ghee,8
11797,mint,8
11798,nazionale,8
11799,m0,8
11800,spooky,8
11801,storybook,8
11802,tâche,8
11803,diodes,8
11804,opposed,8
11805,cva,8
11806,ironing,8
11807,transcribe,8
11808,niveau,8
11809,glow,8
11810,whatsoever,8
11811,worldly,8
11812,banner,8
11813,shame,8
11814,poop,8
11815,caffeine,8
11816,empeine,8
11817,cheesecake,8
11818,krishna,8
11819,hemorrhagic,8
11820,dylan,8
11821,⋅h,8
11822,stupid,8
11823,tiles,8
11824,prolonged,8
11825,susa,8
11826,camara,8
11827,stork,8
11828,decibel,8
11829,mccann,8
11830,assets,8
11831,woodboard,8
11832,ri.7.1,8
11833,arteries,8
11834,equator,8
11835,terrorist,8
11836,mevellec,8
11837,mickaël,8
11838,martial,8
11839,greco,8
11840,ludovic,8
11841,bryan,8
11842,erdene,8
11843,ignorance,8
11844,permeable,8
11845,disinfect,8
11846,dashmalva,8
11847,affordable,8
11848,neat,8
11849,sleeves,8
11850,u15,8
11851,gaubert,8
11852,gestes,8
11853,airbus,8
11854,gettysburg,8
11855,palisade,8
11856,balances,8
11857,gelatin,8
11858,keystroke,8
11859,mosley,8
11860,zay,8
11861,compares,8
11862,em2,8
11863,and=,8
11864,hamzeh,8
11865,mayonnaise,8
11866,concerns,8
11867,packets,8
11868,hallway,8
11869,relay,8
11870,strivings,8
11871,sails,8
11872,infected,8
11873,сountry,8
11874,thailand,8
11875,calgon,8
11876,amoeba,8
11877,bridle,8
11878,stare,8
11879,p/e,8
11880,torres,8
11881,colourful,8
11882,autotrophic,8
11883,coma,8
11884,trekking,8
11885,kovach,8
11886,cult,8
11887,catalog,8
11888,tybalt,8
11889,utter,8
11890,urbanization,8
11891,condense,8
11892,delphi,8
11893,documentary,8
11894,converts,8
11895,whip,8
11896,commune,8
11897,golli,8
11898,hoe,8
11899,osborne,8
11900,aliasing,8
11901,rewind,8
11902,sachin,8
11903,wheels,8
11904,appointing,8
11905,monotremes,8
11906,tango,8
11907,rusting,8
11908,holidays,8
11909,acoustic,8
11910,sonya,8
11911,cutback,8
11912,orientate,8
11913,'the,8
11914,accessing,8
11915,cetones,8
11916,budgets,8
11917,pluto,8
11918,goat,8
11919,jai,8
11920,dwolla,8
11921,reynolds,8
11922,conﬁguration,8
11923,deﬁnition,8
11924,hibiscus,8
11925,=2x,8
11926,snorkel,8
11927,neonatal,8
11928,townspeople,8
11929,sijapati,8
11930,finnish,8
11931,tradespeople,8
11932,radar,8
11933,loga,8
11934,whitman,8
11935,=1/x,8
11936,webcast,8
11937,chronotropic,8
11938,flanders,8
11939,gulab,8
11940,jamun,8
11941,temperance,8
11942,act12,8
11943,monday,8
11944,pfe,8
11945,caravan,8
11946,egyptians,8
11947,hosts,8
11948,motions,8
11949,explorers,8
11950,invaluable,8
11951,justin,8
11952,overhand,8
11953,quilt,8
11954,playground,8
11955,bosch,8
11956,hotspot,8
11957,messenger,8
11958,squat,8
11959,responsibly,8
11960,nomination,8
11961,craftsman,8
11962,approxima,8
11963,sindy,8
11964,sl05,8
11965,personally,8
11966,2nd,8
11967,rug,8
11968,saa,8
11969,factorials,8
11970,sprain,8
11971,complementation,8
11972,tollens,8
11973,pyp,8
11974,hh,8
11975,excellence,8
11976,grants,8
11977,aime,8
11978,y=sen,8
11979,crops,8
11980,fishes,8
11981,isabel,8
11982,nutmeg,8
11983,electrodes,8
11984,creamy,8
11985,tenochtitlan,8
11986,rana,8
11987,reliance,8
11988,permanence,8
11989,disturb,8
11990,rhyming,8
11991,digraphs,8
11992,dorsal,8
11993,austrian,8
11994,bevel,8
11995,reusing,8
11996,singh,8
11997,plumb,8
11998,en.svg,8
11999,vedic,8
12000,bhunamanasana,8
12001,neperate,8
12002,danzas,8
12003,wiggle,8
12004,flavour,8
12005,luis,8
12006,audition,8
12007,riot,8
12008,unbalance,8
12009,lapse,8
12010,curly,8
12011,dee,8
12012,//www.khanacademy.org/partner,8
12013,dispatches,8
12014,pathgorean,8
12015,inventables,8
12016,crise,8
12017,elert,8
12018,macaulay,8
12019,weighing,8
12020,nefertiti,8
12021,interfacing,8
12022,firmly,8
12023,dendrite,8
12024,pasteur,8
12025,klimt,8
12026,ponds,8
12027,/ng/,8
12028,peeling,8
12029,html/js,8
12030,spp,8
12031,ballad,8
12032,pearson,8
12033,atrium,8
12034,x+9,8
12035,krater,8
12036,duquesnoy,8
12037,bathers,8
12038,//twitter.com/virtualschooluk,8
12039,noninfectious,8
12040,cumin,8
12041,musée,8
12042,masala,8
12043,patterning,8
12044,motorcyclist,8
12045,salesman,8
12046,polyhedrons,8
12047,hilal,8
12048,r²,8
12049,barter,8
12050,gabon,8
12051,responding,8
12052,nullspace,8
12053,permissions,8
12054,stolen,8
12055,vives,8
12056,paints,8
12057,om,8
12058,hawaiian,8
12059,bookmark,8
12060,quizzes,8
12061,act07,8
12062,édouard,8
12063,antoine,8
12064,a+1,8
12065,superstition,8
12066,serving,8
12067,brs,8
12068,ballless,8
12069,ruling,8
12070,md,8
12071,protease,8
12072,diplomacy,8
12073,jeff,8
12074,grape,8
12075,resista,8
12076,y1,8
12077,orthogoality,8
12078,exploratory,8
12079,coherence,8
12080,submas,8
12081,greatly,8
12082,recursos,8
12083,hepatic,8
12084,reducer,8
12085,calving,8
12086,immunological,8
12087,educativos,8
12088,meanings,8
12089,specifications,8
12090,waist,8
12091,franks,8
12092,commonality,8
12093,axiom,8
12094,locust,8
12095,generalist,8
12096,programmed,8
12097,condensate,8
12098,offs,8
12099,/sin,8
12100,contraceptive,8
12101,scenes,8
12102,learnt,8
12103,motto,8
12104,fragonard,8
12105,mutualism,8
12106,gamut,8
12107,mis,8
12108,korea,8
12109,demolish,8
12110,bayan,8
12111,rupee,8
12112,implicitly,8
12113,ironically,8
12114,sombrero,8
12115,pottery,8
12116,instrumentation,8
12117,headstand,8
12118,braced,8
12119,yohana,8
12120,pointer,8
12121,postura,8
12122,conserving,8
12123,dynamical,8
12124,listener,8
12125,ads,8
12126,//twitter.com/dnews,8
12127,dominguez,8
12128,electricians,8
12129,⋅g,8
12130,sci,8
12131,bringing,8
12132,rahul,8
12133,september,8
12134,reflexes,8
12135,sangelo,8
12136,incircles,8
12137,isai,8
12138,preimage,8
12139,x^2+1,8
12140,lengthy,8
12141,tendon,8
12142,p4,8
12143,ferguson,8
12144,concision,8
12145,plessy,8
12146,stards,8
12147,presley,8
12148,lid,8
12149,fixme,8
12150,tony,8
12151,snowball,8
12152,triggers,8
12153,digitales,8
12154,sl10,8
12155,elvis,8
12156,hay,8
12157,nephropathy,8
12158,superman,8
12159,aimar,8
12160,x^2+y^2,8
12161,moreover,8
12162,metaclass,8
12163,fountain,8
12164,tubular,8
12165,/x/,8
12166,mathieu,8
12167,//www.twitter.com/thecrashcourse,8
12168,interacts,8
12169,//www.facebook.com/youtubecrashcourse,8
12170,centromere,8
12171,luke,8
12172,subbable,8
12173,martha,8
12174,kawsar,8
12175,rocha,8
12176,ash,8
12177,referee,8
12178,es/sport,8
12179,crud,8
12180,dedicated,8
12181,elijah,8
12182,engageny.org,8
12183,combe,8
12184,reagents,8
12185,unary,8
12186,souls,8
12187,vanish,8
12188,/qu/,8
12189,kanno,8
12190,superphylum,8
12191,ferrari,8
12192,caesarean,8
12193,infringement,8
12194,campaign=biology,8
12195,aidan,8
12196,gmo,8
12197,kristina,8
12198,pigeon,8
12199,airway,8
12200,campaign=mcat,8
12201,spacecraft,8
12202,manjur,8
12203,schmid,8
12204,patrons,8
12205,chopped,8
12206,enthalpie,8
12207,auxins,8
12208,sweeping,8
12209,mimic,8
12210,miter,8
12211,sexed,8
12212,methodical,8
12213,srinivas,8
12214,pfg,8
12215,pork,8
12216,ordinal,8
12217,d.pdf,8
12218,dime,8
12219,¢,8
12220,invoice,8
12221,gallstone,8
12222,comes,8
12223,veronese,8
12224,schematic,8
12225,didn,8
12226,viroids,8
12227,pompeii,8
12228,benign,8
12229,lazy,8
12230,aristotle,8
12231,markovnikov,8
12232,paintings,8
12233,phospholipids,8
12234,fossilization,8
12235,facilities,8
12236,sur,8
12237,baggage,8
12238,gem,8
12239,secrets,8
12240,dao,8
12241,doubles,8
12242,cracked,8
12243,ultrasonic,8
12244,sons,8
12245,schrödinger,8
12246,slider,8
12247,photobreathing,8
12248,feynman,8
12249,bioresource,8
12250,protectionism,8
12251,insequences,8
12252,y=cos,8
12253,haircut,8
12254,foie,8
12255,piqure,8
12256,commonwealth,8
12257,cesar,8
12258,counts,8
12259,gh,8
12260,kilo,8
12261,rosie,8
12262,andersen,8
12263,embryology,8
12264,houses,8
12265,favour,8
12266,restrictive,8
12267,wilt,8
12268,knock,8
12269,complements,8
12270,portable,8
12271,sn1/sn2/e1/e2,8
12272,⅓,8
12273,deportation,8
12274,mold,8
12275,kcl,8
12276,planned,8
12277,vulnerable,8
12278,antara,8
12279,sandstone,8
12280,mountainous,8
12281,nonmetal,8
12282,grader,8
12283,reciprocally,8
12284,whatever,8
12285,toor,8
12286,rainwater,8
12287,halfway,8
12288,log5,8
12289,postulates/criteria,8
12290,daal,8
12291,/v/,8
12292,dispute,8
12293,/w/,8
12294,multinomial,8
12295,motorcycle,8
12296,nitration,8
12297,throughout,8
12298,ruth,8
12299,spite,8
12300,postures,8
12301,brûlure,8
12302,khulan,8
12303,ax+3x=bx+5,8
12304,fried,8
12305,acos,8
12306,hamstring,8
12307,peppers,8
12308,icfes,8
12309,π/4,8
12310,orthocentre,8
12311,messengers,8
12312,¾,8
12313,stagnation,8
12314,dar,8
12315,smarthistory.org,8
12316,johannes,8
12317,colosseum,8
12318,em1,8
12319,/h/,8
12320,autosomal,8
12321,asin,8
12322,duplication,8
12323,illustrated,8
12324,exceptional,8
12325,compliment,8
12326,wiaan,8
12327,unesco,8
12328,puede,8
12329,counterclaim,8
12330,butt,8
12331,ipad,8
12332,migrant,8
12333,nita,8
12334,etouffement,8
12335,seher,8
12336,inhale,8
12337,cdo,8
12338,carnivore,8
12339,bangladesh,8
12340,demon,8
12341,equals,8
12342,modernism,8
12343,dada,8
12344,presume,8
12345,epsilon,8
12346,expands,8
12347,clerk,8
12348,aromatity,8
12349,dissipation,8
12350,shoemaker,8
12351,maingre,8
12352,wings,8
12353,locality,8
12354,shorten,8
12355,bumper,8
12356,sim,8
12357,unicellular,8
12358,shows,8
12359,intrinsic,8
12360,'ck,8
12361,birdhouse,8
12362,filesystem,8
12363,coenzyme,8
12364,lob,8
12365,ancestral,8
12366,niger,8
12367,salam,8
12368,afternoon,8
12369,paintbrush,8
12370,crush,8
12371,interpreter,8
12372,samson,8
12373,middleman,8
12374,=x5+9x3,8
12375,advantageous,8
12376,=12,8
12377,polyp,8
12378,aap,8
12379,dissolving,8
12380,derivations,8
12381,venom,8
12382,binomi,8
12383,shiny,8
12384,lti,8
12385,deyan,8
12386,twister,8
12387,conformity,8
12388,electronegative,8
12389,depart,8
12390,loves,8
12391,qu'est,8
12392,cavalieri,8
12393,colombe,8
12394,decelerate,8
12395,naturalism,8
12396,crystals,8
12397,headball,8
12398,cheating,8
12399,hyphens,8
12400,farooq,8
12401,subspaces,8
12402,collectively,8
12403,abolition,8
12404,bh,8
12405,ministers,8
12406,fanno,8
12407,behin,8
12408,livestock,8
12409,summable,8
12410,cutlery,8
12411,beaker,8
12412,routes,8
12413,^x,8
12414,gouge,8
12415,city/town/village,8
12416,throat,8
12417,u16,8
12418,skipping,8
12419,unconscious,8
12420,mounted,8
12421,allocative,8
12422,marsupials,8
12423,civic,8
12424,d3a,8
12425,multi–phase,8
12426,defends,8
12427,ga,8
12428,reﬂection,8
12429,dissolved,8
12430,telegraph,8
12431,discard,8
12432,cs,8
12433,s.t.o.p,8
12434,galm,8
12435,multilingual,8
12436,monera,8
12437,scrovegni,8
12438,persuade,8
12439,e^x=1/,8
12440,socially,8
12441,∙,8
12442,ischemia,8
12443,dj,8
12444,reel,8
12445,gros,8
12446,sldp,8
12447,liu,8
12448,aclives,8
12449,horizon,8
12450,roe,8
12451,xmind,8
12452,situ,8
12453,disregard,8
12454,peoples,8
12455,​of​,8
12456,hund,8
12457,memorial,8
12458,sistine,8
12459,kabelo,8
12460,hunee,8
12461,mattre,8
12462,monopsonistically,8
12463,bachillerato,8
12464,circumcircle,8
12465,importer,8
12466,interjections,8
12467,atheneum,8
12468,flan,8
12469,bromation,8
12470,constituents,8
12471,detected,8
12472,horses,8
12473,nike,8
12474,donna,8
12475,carriers,8
12476,wadsworth,8
12477,amputation,8
12478,nathaniel,7
12479,fleet,7
12480,dla,7
12481,circumcenters,7
12482,at,7
12483,interruption,7
12484,cnidarian,7
12485,schroeder,7
12486,kks,7
12487,hydrostatic,7
12488,szkół,7
12489,c1,7
12490,relentless,7
12491,riddles,7
12492,macrophages,7
12493,passes,7
12494,suitability,7
12495,referral,7
12496,stigma,7
12497,b.5,7
12498,ampere,7
12499,malignant,7
12500,liquidation,7
12501,roa,7
12502,settling,7
12503,disconnect,7
12504,mein,7
12505,surpass,7
12506,botticelli,7
12507,conversely,7
12508,austria,7
12509,commutator,7
12510,shreena,7
12511,genital,7
12512,cml,7
12513,remotely,7
12514,mc,7
12515,salutations,7
12516,plasmolysis,7
12517,misery,7
12518,sluter,7
12519,disposition,7
12520,info–must,7
12521,tds,7
12522,lifeguard,7
12523,duality,7
12524,cigar,7
12525,probe,7
12526,bodily,7
12527,dose,7
12528,moshen,7
12529,caspar,7
12530,doubling,7
12531,album,7
12532,primates,7
12533,respecting,7
12534,valleys,7
12535,solomon,7
12536,=y,7
12537,wallace,7
12538,warmth,7
12539,winning,7
12540,disastrous,7
12541,fatal,7
12542,thioethers,7
12543,yeasts,7
12544,prework,7
12545,aerospace,7
12546,vagueness,7
12547,ddl,7
12548,auditory,7
12549,miniature,7
12550,cancerous,7
12551,eternal,7
12552,neutrophils,7
12553,gametophyte,7
12554,syncretism,7
12555,distress,7
12556,fizyka,7
12557,cohesively,7
12558,y=y,7
12559,compositions,7
12560,transistors,7
12561,int,7
12562,ionize,7
12563,dare,7
12564,overuse,7
12565,contagious,7
12566,voiced,7
12567,sore,7
12568,temp,7
12569,on/off,7
12570,pane,7
12571,fascist,7
12572,aggressively,7
12573,isothermic,7
12574,blends/clusters,7
12575,dressed,7
12576,lamb,7
12577,bronzino,7
12578,subscribed,7
12579,sensitivity,7
12580,punctuate,7
12581,purify,7
12582,ui,7
12583,filippo,7
12584,broadly,7
12585,tonight,7
12586,lippi,7
12587,widow,7
12588,mediatrics,7
12589,sniff,7
12590,plurals,7
12591,lentil,7
12592,urgency,7
12593,masculine,7
12594,looks,7
12595,acidification,7
12596,happily,7
12597,asymmetry,7
12598,unchanged,7
12599,clump,7
12600,sol,7
12601,x7,7
12602,bhavna,7
12603,nervosa,7
12604,choir,7
12605,kunz,7
12606,//www.patreon.com/crashcourse,7
12607,durable,7
12608,arrhythmia,7
12609,deferred,7
12610,rash,7
12611,regenerate,7
12612,xamarin,7
12613,kouros,7
12614,nitrogenous,7
12615,pancakes,7
12616,excluded,7
12617,reticle,7
12618,clifford,7
12619,alias,7
12620,rref,7
12621,obscuring,7
12622,poser,7
12623,chintu,7
12624,players,7
12625,samdevibahu,7
12626,explores,7
12627,a8,7
12628,+3,7
12629,innovati,7
12630,appetite,7
12631,workforce,7
12632,markov,7
12633,a.k.a,7
12634,enigma,7
12635,nane,7
12636,unintended,7
12637,cirrhosis,7
12638,parry,7
12639,bethan,7
12640,iqbal,7
12641,sdg,7
12642,busily,7
12643,saigon,7
12644,cowboy,7
12645,folklore,7
12646,porsche,7
12647,gladstone,7
12648,fctically,7
12649,xii,7
12650,diarrheal,7
12651,precipitate,7
12652,cartels,7
12653,cycl,7
12654,saturday,7
12655,quorum,7
12656,wrongly,7
12657,interplanetary,7
12658,jackpot,7
12659,flocon,7
12660,permanently,7
12661,membre,7
12662,wardrobe,7
12663,insufficient,7
12664,periency,7
12665,csv,7
12666,=x/,7
12667,kent,7
12668,darkness,7
12669,hierarchical,7
12670,marcus,7
12671,vivo,7
12672,divert,7
12673,solitary,7
12674,graphed,7
12675,undamped,7
12676,cupid,7
12677,fell,7
12678,compensate,7
12679,algarism,7
12680,browning,7
12681,ecart,7
12682,encapsulate,7
12683,strikes,7
12684,refuse,7
12685,typing,7
12686,oshika,7
12687,vicious,7
12688,theatrical,7
12689,deprotonate,7
12690,swinging,7
12691,secondly,7
12692,mimo,7
12693,teotihuacan,7
12694,interspecific,7
12695,nb4,7
12696,inflatable,7
12697,=tan,7
12698,x5,7
12699,albrecht,7
12700,containment,7
12701,objetivo,7
12702,alumno,7
12703,dodatek,7
12704,temporarily,7
12705,autopsy,7
12706,chunk,7
12707,b|,7
12708,greed,7
12709,main.wav,7
12710,hewar,7
12711,guessing,7
12712,charm,7
12713,//www.freesound.org/people/cosmicd/sounds/72556/,7
12714,cosmicd,7
12715,collusion,7
12716,i4dsong,7
12717,kartiya,7
12718,nobility,7
12719,cruise,7
12720,chemiosmosis,7
12721,malay,7
12722,clavicle,7
12723,documenting,7
12724,iodide,7
12725,life—sports,7
12726,providing,7
12727,cancellation,7
12728,bonaparte,7
12729,quasistatic,7
12730,instability,7
12731,ss09,7
12732,cardioid,7
12733,originals,7
12734,cultivating,7
12735,foster,7
12736,cleaner,7
12737,keeper,7
12738,magician,7
12739,tropisms,7
12740,portray,7
12741,selfie,7
12742,boxer,7
12743,concentrated,7
12744,gum,7
12745,hopkins,7
12746,subsidies,7
12747,boards,7
12748,monoatomic,7
12749,cosmetic,7
12750,gordon,7
12751,understands,7
12752,remembe,7
12753,schwarz,7
12754,woods,7
12755,organizations,7
12756,inspired,7
12757,rococo,7
12758,ingres,7
12759,cad,7
12760,stol,7
12761,fluctuate,7
12762,happi,7
12763,chlamydia,7
12764,spectator,7
12765,audre,7
12766,navigating,7
12767,slaughter,7
12768,wording,7
12769,sarangsamity,7
12770,immensely,7
12771,webquest,7
12772,milton,7
12773,credibility,7
12774,gatekeeper,7
12775,closest,7
12776,lla,7
12777,rowspace,7
12778,electrovalent,7
12779,,7
12780,mentality,7
12781,dihydroxylation,7
12782,balls,7
12783,multinomes,7
12784,nod,7
12785,ponzi,7
12786,dah,7
12787,//www.prathamopenschool.org/coursecontent/videos/sound,7
12788,diastereoisomers,7
12789,infamous,7
12790,proposals,7
12791,viewer,7
12792,hz,7
12793,equipped,7
12794,congruity,7
12795,labelling,7
12796,anger,7
12797,kerry,7
12798,essentials,7
12799,dcc,7
12800,materia,7
12801,abdul,7
12802,x+2y,7
12803,ener,7
12804,macrostate,7
12805,denial,7
12806,packed,7
12807,adrenal,7
12808,smear,7
12809,sds,7
12810,decarboxylation,7
12811,zika,7
12812,toes,7
12813,canadian,7
12814,bloemfontein,7
12815,thrombosis,7
12816,migratory,7
12817,shave,7
12818,olympics,7
12819,everett,7
12820,envision,7
12821,stocks,7
12822,sideways,7
12823,viscous,7
12824,folleto,7
12825,parchment,7
12826,hershey,7
12827,dos,7
12828,y=1/,7
12829,ebcorganizing,7
12830,lin,7
12831,aegean,7
12832,speeding,7
12833,easier,7
12834,uncrc,7
12835,trigonometrical,7
12836,y=√x,7
12837,wassim,7
12838,carlo,7
12839,hesitation,7
12840,y=3,7
12841,osmolarity,7
12842,baz,7
12843,juliana,7
12844,fuseli,7
12845,worship,7
12846,successes,7
12847,reputation,7
12848,grad,7
12849,evaporate,7
12850,kicks,7
12851,nb6,7
12852,runs,7
12853,®,7
12854,covariance,7
12855,pratice,7
12856,bromination,7
12857,perfusion,7
12858,dispersed,7
12859,intensification,7
12860,boîte,7
12861,biasing,7
12862,nb5,7
12863,aneurysm,7
12864,pusher,7
12865,tatum,7
12866,s1,7
12867,hr,7
12868,oral/written,7
12869,kreinik,7
12870,jennifer,7
12871,nonstandard,7
12872,mult,7
12873,minima,7
12874,posterior,7
12875,pushing,7
12876,liabilities,7
12877,meets,7
12878,peek,7
12879,compilations,7
12880,uptake,7
12881,manufactures,7
12882,nidal,7
12883,abstrac,7
12884,f/g,7
12885,premise,7
12886,unpredictable,7
12887,retract,7
12888,starts,7
12889,monomy,7
12890,displacements,7
12891,iterate,7
12892,magma,7
12893,weed,7
12894,mono,7
12895,sympathetic,7
12896,lo,7
12897,lub,7
12898,brigade,7
12899,tiered,7
12900,electrocution,7
12901,warranty,7
12902,hell,7
12903,waveform,7
12904,leapfrog,7
12905,mobilize,7
12906,substituted,7
12907,arteriolosclerosis,7
12908,routinely,7
12909,mpl,7
12910,styles,7
12911,jogging,7
12912,dynastic,7
12913,eratosthenes,7
12914,bishop,7
12915,marsupial,7
12916,bianca,7
12917,honeybee,7
12918,doctrine,7
12919,nicely,7
12920,syringe,7
12921,profiling,7
12922,bangles,7
12923,heterocycle,7
12924,honeycomb,7
12925,monosaccharides,7
12926,olives,7
12927,striking,7
12928,deﬁned,7
12929,fallacy,7
12930,qcm,7
12931,scam,7
12932,tabla,7
12933,cdu,7
12934,intended,7
12935,carré,7
12936,fi,7
12937,baze,7
12938,voicethread,7
12939,zoom,7
12940,installment,7
12941,mistress,7
12942,raman,7
12943,cre,7
12944,pense,7
12945,externally,7
12946,johny,7
12947,thoracic,7
12948,conjectures,7
12949,francesco,7
12950,ballistics,7
12951,privilege,7
12952,budgeting,7
12953,architects,7
12954,lakeshia,7
12955,primality,7
12956,b²,7
12957,ropeik,7
12958,mediators,7
12959,retaining,7
12960,horrible,7
12961,rheumatoid,7
12962,nb3,7
12963,mound,7
12964,stadium,7
12965,typhoid,7
12966,rameal,7
12967,capillarity,7
12968,fragmented,7
12969,ellingham,7
12970,mohammad,7
12971,hsl,7
12972,suburb,7
12973,equalization,7
12974,containing,7
12975,snakes,7
12976,energies,7
12977,perimeters,7
12978,guardian,7
12979,minuendo,7
12980,electrophiles,7
12981,dying,7
12982,ipv4,7
12983,modest,7
12984,tilak,7
12985,ecologically,7
12986,elderly,7
12987,counterintuitive,7
12988,teens,7
12989,paraphrasing,7
12990,coriolis,7
12991,radiant,7
12992,notre,7
12993,atmósfera,7
12994,linkedlist,7
12995,=x^3+2x^2+cx+10,7
12996,upcoming,7
12997,apron,7
12998,neptune,7
12999,trapezi,7
13000,gynaecology,7
13001,breastroke,7
13002,laughter,7
13003,solvency,7
13004,campin,7
13005,jfet,7
13006,,7
13007,colloids,7
13008,chloe,7
13009,connotation,7
13010,prioritization,7
13011,satisfaction,7
13012,sunit,7
13013,politician,7
13014,cottage,7
13015,subshell,7
13016,mpc,7
13017,handwritten,7
13018,tying,7
13019,quart,7
13020,synth,7
13021,abscisse,7
13022,clafoutis,7
13023,cartography,7
13024,cleopatra,7
13025,mentoring,7
13026,mousse,7
13027,possessives,7
13028,secretary,7
13029,interconnect,7
13030,billing,7
13031,zusammen,7
13032,entgegen,7
13033,disperse,7
13034,branding,7
13035,ohmic,7
13036,onomatopoeia,7
13037,hardening,7
13038,debris,7
13039,sanding,7
13040,compounded,7
13041,x^2+2,7
13042,x^2+3x,7
13043,cycladic,7
13044,curse,7
13045,prepares,7
13046,balmer,7
13047,tsai,7
13048,etoys,7
13049,soaps,7
13050,detergents,7
13051,constraining,7
13052,comparator,7
13053,tac,7
13054,pinakothek,7
13055,w.,7
13056,antique,7
13057,bisectrices,7
13058,fragmenté,7
13059,jurassic,7
13060,elliptic,7
13061,demonstrating,7
13062,tiling,7
13063,staging,7
13064,humble,7
13065,cnidarians,7
13066,isentropic,7
13067,prop,7
13068,stag,7
13069,zdrowie,7
13070,trials,7
13071,10th,7
13072,gramma,7
13073,optimally,7
